timestamp,pair,mode,family,family_name,score,url,return_pct,drawdown_pct,total_orders,sharpe,win_rate_pct,start_equity,end_equity,entries,exit_stop_loss,exit_take_profit,exit_end_of_session,exit_max_hold,param_atr_period,param_stop_atr_mult,param_reward_ratio,param_max_hold_bars,param_cooldown_bars,param_risk_per_trade_pct,param_ema_fast_period,param_ema_slow_period,param_trend_ema_period,param_bar_minutes,param_htf_minutes,param_htf_ema_period,param_vol_filter_enabled,param_use_force_flat,train_score,validation_score
2026-03-18T14:18:50,USDJPY,train,3,EMA Crossover,-38.741,https://www.quantconnect.com/project/28930245/3a3fda2a22970c81ab32e10e7403115e,-6.254,34.7,993.0,-0.129,34.0,10000.0,9374.56,301.0,162.0,49.0,,90.0,20,2.0,2.0,20,5,0.25,15,40,30,5,240,50,0,0,,
2026-03-18T14:19:30,USDJPY,train,3,EMA Crossover,-42.163,https://www.quantconnect.com/project/28930245/4a342e55671c1cd46cbf0554b57124b9,-13.302,14.6,2159.0,-1.987,44.0,10000.0,8669.8,708.0,379.0,294.0,34.0,1.0,10,3.0,1.0,96,12,0.15,8,60,20,5,60,20,0,1,,
2026-03-18T14:19:55,USDJPY,train,3,EMA Crossover,-7.865,https://www.quantconnect.com/project/28930245/572a6802f76de1b6e91bc60bab7694ae,-4.715,8.5,550.0,-1.05,42.0,10000.0,9528.53,158.0,51.0,31.0,76.0,,10,3.0,1.25,60,12,0.35,8,60,20,30,240,50,0,1,,
2026-03-18T14:20:31,USDJPY,train,3,EMA Crossover,-10.315,https://www.quantconnect.com/project/28930245/2d7b0d485cd466a26816f35b6a2d1107,-6.466,6.7,636.0,-1.283,45.0,10000.0,9353.36,212.0,116.0,96.0,,,20,1.5,1.0,48,5,0.25,20,50,20,15,240,30,0,0,,
2026-03-18T14:20:59,USDJPY,train,3,EMA Crossover,-3.6239999999999997,https://www.quantconnect.com/project/28930245/97a75909379d8862db54d884891656d5,-1.122,4.5,716.0,-0.834,39.0,10000.0,9887.8,221.0,120.0,48.0,53.0,,14,1.5,2.0,48,8,0.15,10,40,20,30,240,20,0,1,,
2026-03-18T14:21:28,USDJPY,train,3,EMA Crossover,-26.410000000000004,https://www.quantconnect.com/project/28930245/a592f47b2045c97a0404cb2d931c417c,-11.627,12.6,1514.0,-1.211,39.0,10000.0,8837.31,473.0,248.0,130.0,,95.0,10,3.0,1.5,48,5,0.25,8,50,30,15,60,20,0,0,,
2026-03-18T14:21:58,USDJPY,train,3,EMA Crossover,-5.089,https://www.quantconnect.com/project/28930245/4069c21cd0aed3a8fd37de984a1ff38b,-2.17,3.8,614.0,-0.973,32.0,10000.0,9783.04,203.0,136.0,62.0,,5.0,14,2.0,2.0,96,8,0.15,20,50,50,30,60,20,0,0,,
2026-03-18T14:22:25,USDJPY,train,3,EMA Crossover,-65.69900000000001,https://www.quantconnect.com/project/28930245/e5e683f6c794425872b03268f9e2aa1b,-31.767,32.7,871.0,-1.794,35.0,10000.0,6823.35,290.0,189.0,100.0,1.0,,10,1.5,1.25,96,12,0.5,8,50,30,5,240,30,0,1,,
2026-03-18T14:22:51,USDJPY,train,3,EMA Crossover,-7.453,https://www.quantconnect.com/project/28930245/f1404818dbfd43db1c7213eaad53421e,-3.091,5.7,649.0,-1.454,46.0,10000.0,9690.92,214.0,112.0,95.0,,7.0,14,2.5,1.0,60,12,0.15,20,60,30,15,240,50,0,0,,
2026-03-18T14:23:32,USDJPY,train,3,EMA Crossover,-45.043,https://www.quantconnect.com/project/28930245/eb443ad2d7a7e7633f96d281886a350b,-21.983,25.3,966.0,-1.57,30.0,10000.0,7801.74,308.0,201.0,65.0,,42.0,10,1.5,2.0,20,8,0.35,8,40,100,5,60,50,0,1,,
2026-03-18T14:23:58,USDJPY,train,3,EMA Crossover,-1.313,https://www.quantconnect.com/project/28930245/c165552a53e351a7744d563d902e486c,-0.164,5.8,588.0,-0.383,51.0,10000.0,9983.65,196.0,97.0,99.0,,,10,2.5,1.0,96,12,0.35,15,30,100,30,240,20,0,0,,
2026-03-18T14:24:27,USDJPY,train,3,EMA Crossover,-60.916999999999994,https://www.quantconnect.com/project/28930245/6a19df9064f42023d10d198fb629d599,-25.346,29.7,1404.0,-1.307,41.0,10000.0,7465.43,442.0,228.0,136.0,,78.0,14,2.0,1.25,20,12,0.5,20,40,100,5,60,20,0,0,,
2026-03-18T14:24:53,USDJPY,train,3,EMA Crossover,-4.093,https://www.quantconnect.com/project/28930245/52f260eb24afaf1958a37e4d7edaec9f,-1.444,3.6,476.0,-0.883,48.0,10000.0,9855.59,143.0,60.0,36.0,47.0,,10,3.0,1.25,48,5,0.25,20,60,30,15,60,30,1,1,,
2026-03-18T14:25:28,USDJPY,train,3,EMA Crossover,-32.351,https://www.quantconnect.com/project/28930245/1be11e9ef105fa60cad666d20794b564,-7.432,9.5,2091.0,-1.273,43.0,10000.0,9256.82,672.0,351.0,246.0,40.0,35.0,10,3.0,1.25,60,12,0.15,8,60,50,5,60,30,0,1,,
2026-03-18T14:25:55,USDJPY,train,3,EMA Crossover,-58.981,https://www.quantconnect.com/project/28930245/233fed1afa9259425c84dea7b8e5cc98,-26.51,27.7,1407.0,-1.507,39.0,10000.0,7348.98,428.0,196.0,109.0,,123.0,10,3.0,1.25,30,3,0.5,8,50,30,5,60,50,1,0,,
2026-03-18T14:23:58,USDJPY,train,3,EMA Crossover,-1.313,https://www.quantconnect.com/project/28930245/c165552a53e351a7744d563d902e486c,-0.164,5.8,588.0,-0.383,51.0,10000.0,9983.65,196.0,97.0,99.0,,,10,2.5,1.0,96,12,0.35,15,30,100,30,240,20,0,0,,
2026-03-18T14:20:59,USDJPY,train,3,EMA Crossover,-3.6239999999999997,https://www.quantconnect.com/project/28930245/97a75909379d8862db54d884891656d5,-1.122,4.5,716.0,-0.834,39.0,10000.0,9887.8,221.0,120.0,48.0,53.0,,14,1.5,2.0,48,8,0.15,10,40,20,30,240,20,0,1,,
2026-03-18T14:24:53,USDJPY,train,3,EMA Crossover,-4.093,https://www.quantconnect.com/project/28930245/52f260eb24afaf1958a37e4d7edaec9f,-1.444,3.6,476.0,-0.883,48.0,10000.0,9855.59,143.0,60.0,36.0,47.0,,10,3.0,1.25,48,5,0.25,20,60,30,15,60,30,1,1,,
2026-03-18T14:21:58,USDJPY,train,3,EMA Crossover,-5.089,https://www.quantconnect.com/project/28930245/4069c21cd0aed3a8fd37de984a1ff38b,-2.17,3.8,614.0,-0.973,32.0,10000.0,9783.04,203.0,136.0,62.0,,5.0,14,2.0,2.0,96,8,0.15,20,50,50,30,60,20,0,0,,
2026-03-18T14:22:51,USDJPY,train,3,EMA Crossover,-7.453,https://www.quantconnect.com/project/28930245/f1404818dbfd43db1c7213eaad53421e,-3.091,5.7,649.0,-1.454,46.0,10000.0,9690.92,214.0,112.0,95.0,,7.0,14,2.5,1.0,60,12,0.15,20,60,30,15,240,50,0,0,,
2026-03-18T14:26:24,USDJPY,train,3,EMA Crossover,1.6980000000000002,https://www.quantconnect.com/project/28930245/c7997082dd69178a17492f4a73ef5d7d,2.22,4.5,480.0,-0.174,53.0,10000.0,10221.98,160.0,75.0,85.0,,,10,2.0,1.0,96,12,0.35,15,50,100,30,240,20,0,0,,
2026-03-18T14:26:57,USDJPY,train,3,EMA Crossover,-6.22,https://www.quantconnect.com/project/28930245/dd3e7f0a899939aaf79689397f43e915,-1.063,2.1,408.0,-1.719,47.0,10000.0,9893.73,121.0,42.0,34.0,45.0,,14,2.5,1.0,48,8,0.15,20,60,20,30,240,50,0,1,,
2026-03-18T14:27:21,USDJPY,train,3,EMA Crossover,-8.84,https://www.quantconnect.com/project/28930245/19ddbfc54a58caf3fe4721277bdfaf8f,-5.6,6.1,489.0,-1.08,31.0,10000.0,9439.99,159.0,107.0,40.0,12.0,,14,1.5,2.0,96,5,0.25,20,50,50,15,60,30,1,1,,
2026-03-18T14:27:45,USDJPY,train,3,EMA Crossover,-2.1959999999999997,https://www.quantconnect.com/project/28930245/591d09c972a59ee6e3929568dbeae378,-0.159,2.3,475.0,-0.679,35.0,10000.0,9984.13,158.0,102.0,55.0,,1.0,10,1.5,2.0,96,12,0.15,15,40,100,30,240,20,0,0,,
2026-03-18T14:28:09,USDJPY,train,3,EMA Crossover,-11.589,https://www.quantconnect.com/project/28930245/f4a8567d98338ebfe44f2202e87c0a47,-9.105,11.6,659.0,-0.828,32.0,10000.0,9089.48,218.0,149.0,64.0,,5.0,10,2.0,2.0,96,12,0.35,15,30,100,30,60,20,0,0,,
2026-03-18T14:28:34,USDJPY,train,3,EMA Crossover,-6.611000000000001,https://www.quantconnect.com/project/28930245/e68b17408adfc9503b5c58c01ef7e7d3,-1.775,2.5,360.0,-1.612,45.0,10000.0,9822.46,120.0,66.0,54.0,,,14,2.0,1.0,96,12,0.15,20,50,50,30,240,50,0,0,,
2026-03-18T14:29:03,USDJPY,train,3,EMA Crossover,-1.728,https://www.quantconnect.com/project/28930245/c074b36ccb9362c31f30edd6c09e873d,-0.21,4.6,451.0,-0.506,40.0,10000.0,9979.03,143.0,84.0,37.0,,22.0,10,3.0,2.0,96,5,0.25,20,60,50,15,60,30,1,0,,
2026-03-18T14:29:41,USDJPY,train,3,EMA Crossover,-7.433999999999999,https://www.quantconnect.com/project/28930245/05909a086fbfa622513b8beb08e7b40f,-3.954,5.6,729.0,-1.16,32.0,10000.0,9604.62,237.0,156.0,63.0,18.0,,14,1.5,2.0,60,8,0.15,20,40,20,15,240,20,0,1,,
2026-03-18T14:30:04,USDJPY,train,3,EMA Crossover,-5.199,https://www.quantconnect.com/project/28930245/25e8eaa29f7691a8b381245e8a993ea5,-1.359,2.8,438.0,-1.28,49.0,10000.0,9864.08,146.0,74.0,72.0,,,10,1.5,1.0,60,5,0.15,15,40,100,30,240,30,0,0,,
2026-03-18T14:30:46,USDJPY,train,3,EMA Crossover,-28.651000000000003,https://www.quantconnect.com/project/28930245/c9a93e6a03fea0d7daf1c337903dd5b7,-8.238,11.0,1960.0,-1.421,39.0,10000.0,9176.24,573.0,258.0,74.0,,241.0,20,2.5,2.0,20,5,0.15,15,60,50,5,60,30,0,0,,
2026-03-18T14:26:24,USDJPY,train,3,EMA Crossover,1.6980000000000002,https://www.quantconnect.com/project/28930245/c7997082dd69178a17492f4a73ef5d7d,2.22,4.5,480.0,-0.174,53.0,10000.0,10221.98,160.0,75.0,85.0,,,10,2.0,1.0,96,12,0.35,15,50,100,30,240,20,0,0,,
2026-03-18T14:23:58,USDJPY,train,3,EMA Crossover,-1.313,https://www.quantconnect.com/project/28930245/c165552a53e351a7744d563d902e486c,-0.164,5.8,588.0,-0.383,51.0,10000.0,9983.65,196.0,97.0,99.0,,,10,2.5,1.0,96,12,0.35,15,30,100,30,240,20,0,0,,
2026-03-18T14:29:03,USDJPY,train,3,EMA Crossover,-1.728,https://www.quantconnect.com/project/28930245/c074b36ccb9362c31f30edd6c09e873d,-0.21,4.6,451.0,-0.506,40.0,10000.0,9979.03,143.0,84.0,37.0,,22.0,10,3.0,2.0,96,5,0.25,20,60,50,15,60,30,1,0,,
2026-03-18T14:27:45,USDJPY,train,3,EMA Crossover,-2.1959999999999997,https://www.quantconnect.com/project/28930245/591d09c972a59ee6e3929568dbeae378,-0.159,2.3,475.0,-0.679,35.0,10000.0,9984.13,158.0,102.0,55.0,,1.0,10,1.5,2.0,96,12,0.15,15,40,100,30,240,20,0,0,,
2026-03-18T14:20:59,USDJPY,train,3,EMA Crossover,-3.6239999999999997,https://www.quantconnect.com/project/28930245/97a75909379d8862db54d884891656d5,-1.122,4.5,716.0,-0.834,39.0,10000.0,9887.8,221.0,120.0,48.0,53.0,,14,1.5,2.0,48,8,0.15,10,40,20,30,240,20,0,1,,
2026-03-18T14:31:14,USDJPY,train,3,EMA Crossover,-2.5690000000000004,https://www.quantconnect.com/project/28930245/3d501e03caeecf3d36930cf51c9a9381,0.239,1.3,468.0,-0.936,52.0,10000.0,10023.93,156.0,75.0,81.0,,,10,2.0,1.0,96,12,0.15,20,40,100,30,240,20,0,0,,
2026-03-18T14:31:43,USDJPY,train,3,EMA Crossover,-3.073,https://www.quantconnect.com/project/28930245/3277d935e7768bf1c98b5d0a84770a84,-1.189,5.8,405.0,-0.628,38.0,10000.0,9881.08,128.0,74.0,33.0,,21.0,10,3.0,2.0,96,5,0.25,20,60,50,15,240,20,1,0,,
2026-03-18T14:32:13,USDJPY,train,3,EMA Crossover,-6.645,https://www.quantconnect.com/project/28930245/1ee24ae2ce2f26f9e55bbc1343b3ab47,-4.959,8.5,659.0,-0.562,33.0,10000.0,9504.11,218.0,144.0,69.0,,5.0,10,2.0,2.0,96,8,0.35,10,50,100,30,60,20,0,0,,
2026-03-18T14:32:40,USDJPY,train,3,EMA Crossover,-25.53,https://www.quantconnect.com/project/28930245/260cf6986ada34d70e6b494f63206ea9,-13.29,16.3,1157.0,-1.23,30.0,10000.0,8671.01,382.0,266.0,105.0,,11.0,10,2.0,2.0,96,12,0.25,15,50,50,15,60,30,0,0,,
2026-03-18T14:33:08,USDJPY,train,3,EMA Crossover,-3.85,https://www.quantconnect.com/project/28930245/ced1b3c6b6c371252920de231a72ae86,-1.069,2.5,522.0,-0.927,39.0,10000.0,9893.11,162.0,88.0,38.0,36.0,,14,1.5,2.0,96,8,0.15,15,40,100,30,240,20,0,1,,
2026-03-18T14:33:36,USDJPY,train,3,EMA Crossover,-3.963,https://www.quantconnect.com/project/28930245/59201689248d38e445bde7bb3c25c0bc,-2.034,9.4,705.0,-0.643,45.0,10000.0,9796.65,230.0,122.0,93.0,,15.0,10,3.0,1.25,96,5,0.25,20,60,100,15,240,20,0,0,,
2026-03-18T14:34:11,USDJPY,train,3,EMA Crossover,-3.6719999999999997,https://www.quantconnect.com/project/28930245/46bb2ec9471653898a020f4c12131190,-0.957,2.2,518.0,-0.905,39.0,10000.0,9904.32,161.0,87.0,39.0,35.0,,10,1.5,2.0,48,8,0.15,15,40,100,30,240,20,0,1,,
2026-03-18T14:34:36,USDJPY,train,3,EMA Crossover,-4.496,https://www.quantconnect.com/project/28930245/cdb44992a537bde07b3dcfac7507d7d5,-2.024,4.3,320.0,-0.824,35.0,10000.0,9797.63,102.0,63.0,25.0,,14.0,10,3.0,2.0,96,5,0.25,15,30,50,30,240,20,1,0,,
2026-03-18T14:35:05,USDJPY,train,3,EMA Crossover,-10.608,https://www.quantconnect.com/project/28930245/fe8a5bc7d051c858027ff8eb3e788a37,-4.939,6.1,842.0,-1.623,41.0,10000.0,9506.08,266.0,141.0,81.0,,44.0,10,2.5,1.25,30,12,0.15,15,60,30,15,240,20,0,0,,
2026-03-18T14:35:36,USDJPY,train,3,EMA Crossover,-48.733,https://www.quantconnect.com/project/28930245/96ebf93150ab371882f87ba323c50a88,-18.456,24.0,1563.0,-1.209,42.0,10000.0,8154.42,513.0,291.0,198.0,19.0,5.0,10,2.5,1.25,60,3,0.35,15,60,20,5,240,30,0,1,,
2026-03-18T14:26:24,USDJPY,train,3,EMA Crossover,1.6980000000000002,https://www.quantconnect.com/project/28930245/c7997082dd69178a17492f4a73ef5d7d,2.22,4.5,480.0,-0.174,53.0,10000.0,10221.98,160.0,75.0,85.0,,,10,2.0,1.0,96,12,0.35,15,50,100,30,240,20,0,0,,
2026-03-18T14:23:58,USDJPY,train,3,EMA Crossover,-1.313,https://www.quantconnect.com/project/28930245/c165552a53e351a7744d563d902e486c,-0.164,5.8,588.0,-0.383,51.0,10000.0,9983.65,196.0,97.0,99.0,,,10,2.5,1.0,96,12,0.35,15,30,100,30,240,20,0,0,,
2026-03-18T14:29:03,USDJPY,train,3,EMA Crossover,-1.728,https://www.quantconnect.com/project/28930245/c074b36ccb9362c31f30edd6c09e873d,-0.21,4.6,451.0,-0.506,40.0,10000.0,9979.03,143.0,84.0,37.0,,22.0,10,3.0,2.0,96,5,0.25,20,60,50,15,60,30,1,0,,
